date,age_grp,gender,card_cnt
8/31/2016,40_65,F,2
8/31/2016,40_65,M,2
8/31/2016,66_abv,F,2
9/1/2016,40_65,F,6
9/1/2016,66_abv,M,2
9/2/2016,40_65,F,1
9/2/2016,66_abv,F,3
9/3/2016,40_65,F,1
9/4/2016,40_65,F,1
9/4/2016,66_abv,F,1
9/5/2016,66_abv,F,1
9/5/2016,66_abv,M,2
9/6/2016,40_65,M,1
9/6/2016,66_abv,M,1
9/7/2016,40_65,F,1
9/7/2016,40_65,M,1
9/7/2016,66_abv,M,3
9/8/2016,66_abv,F,2
9/8/2016,66_abv,M,1
9/9/2016,20_39,M,1
9/9/2016,40_65,M,1
9/9/2016,66_abv,M,1
9/10/2016,20_39,M,1
9/10/2016,40_65,F,1
9/10/2016,66_abv,F,1
9/10/2016,66_abv,M,1
9/12/2016,20_39,F,1
9/12/2016,40_65,F,3
9/12/2016,40_65,M,1
9/12/2016,66_abv,F,2
9/13/2016,40_65,M,2
9/14/2016,20_39,F,1
9/14/2016,40_65,F,1
9/14/2016,66_abv,F,1
9/14/2016,66_abv,M,1
9/15/2016,20_39,F,1
9/15/2016,40_65,F,1
9/15/2016,40_65,M,1
9/16/2016,20_39,F,2
9/16/2016,40_65,F,2
9/17/2016,40_65,F,1
9/18/2016,20_39,F,1
9/18/2016,40_65,F,1
9/18/2016,40_65,M,1
9/18/2016,66_abv,F,1
9/18/2016,66_abv,M,1
9/19/2016,20_39,F,1
9/19/2016,40_65,F,1
9/19/2016,40_65,M,1
9/19/2016,66_abv,F,2
9/20/2016,40_65,M,1
9/20/2016,66_abv,F,2
9/21/2016,20_39,F,1
9/21/2016,40_65,F,2
9/21/2016,66_abv,F,1
9/22/2016,20_39,F,1
9/22/2016,40_65,M,1
9/23/2016,20_39,F,1
9/23/2016,40_65,F,2
9/23/2016,40_65,M,1
9/24/2016,40_65,M,1
9/24/2016,66_abv,F,1
9/24/2016,66_abv,M,1
9/25/2016,20_39,F,1
9/25/2016,40_65,F,1
9/25/2016,40_65,M,1
9/25/2016,66_abv,F,2
9/25/2016,66_abv,M,2
9/26/2016,40_65,F,1
